"intercept_mean","e2_slope_mean","p4_slope_mean","TPR"
0.6,-0.2,0.3,0.37
0.6,-0.2,0.4,0.61
0.6,-0.2,0.5,0.71
0.6,-0.1,-0.5,0.69
0.6,-0.1,-0.4,0.45
0.6,-0.1,-0.3,0.45
0.6,-0.1,-0.2,0.27
0.6,-0.1,-0.1,0.13
0.6,-0.1,0,0.2
0.6,-0.1,0.1,0.2
0.6,-0.1,0.2,0.31
0.6,-0.1,0.3,0.41
0.6,-0.1,0.4,0.58
0.6,-0.1,0.5,0.63
0.6,0,-0.5,0.77
0.6,0,-0.4,0.51
0.6,0,-0.3,0.21
0.6,0,-0.2,0.23
0.6,0,-0.1,0.16
0.6,0,0,0.12
0.6,0,0.1,0.14
0.6,0,0.2,0.27
0.6,0,0.3,0.39
0.6,0,0.4,0.54
0.6,0,0.5,0.65
0.6,0.1,-0.5,0.68
0.6,0.1,-0.4,0.58
0.6,0.1,-0.3,0.34
0.6,0.1,-0.2,0.26
0.6,0.1,-0.1,0.21
0.6,0.1,0,0.15
0.6,0.1,0.1,0.18
0.6,0.1,0.2,0.25
0.6,0.1,0.3,0.3
0.6,0.1,0.4,0.54
0.6,0.1,0.5,0.73
0.6,0.2,-0.5,0.78
0.6,0.2,-0.4,0.6
0.6,0.2,-0.3,0.36
0.6,0.2,-0.2,0.38
0.6,0.2,-0.1,0.25
0.6,0.2,0,0.19
0.6,0.2,0.1,0.21
0.6,0.2,0.2,0.36
0.6,0.2,0.3,0.46
0.6,0.2,0.4,0.61
0.6,0.2,0.5,0.75
0.6,0.3,-0.5,0.9
0.6,0.3,-0.4,0.64
0.6,0.3,-0.3,0.57
0.6,0.3,-0.2,0.43
0.6,0.3,-0.1,0.37
0.6,0.3,0,0.35
0.6,0.3,0.1,0.33
0.6,0.3,0.2,0.46
0.6,0.3,0.3,0.52
0.6,0.3,0.4,0.78
0.6,0.3,0.5,0.79
0.6,0.4,-0.5,0.84
0.6,0.4,-0.4,0.81
0.6,0.4,-0.3,0.75
0.6,0.4,-0.2,0.64
0.6,0.4,-0.1,0.49
0.6,0.4,0,0.49
0.6,0.4,0.1,0.55
0.6,0.4,0.2,0.62
0.6,0.4,0.3,0.67
0.6,0.4,0.4,0.79
0.6,0.4,0.5,0.9
0.6,0.5,-0.5,0.94
0.6,0.5,-0.4,0.91
0.6,0.5,-0.3,0.82
0.6,0.5,-0.2,0.73
0.6,0.5,-0.1,0.64
0.6,0.5,0,0.66
0.6,0.5,0.1,0.73
0.6,0.5,0.2,0.78
0.6,0.5,0.3,0.78
0.6,0.5,0.4,0.88
0.6,0.5,0.5,0.94
0.9,-0.5,-0.5,0.94
0.9,-0.5,-0.4,0.93
0.9,-0.5,-0.3,0.85
0.9,-0.5,-0.2,0.74
0.9,-0.5,-0.1,0.73
0.9,-0.5,0,0.66
0.9,-0.5,0.1,0.77
0.9,-0.5,0.2,0.77
0.9,-0.5,0.3,0.8
0.9,-0.5,0.4,0.82
0.9,-0.5,0.5,0.93
0.9,-0.4,-0.5,0.92
0.9,-0.4,-0.4,0.81
0.9,-0.4,-0.3,0.67
0.9,-0.4,-0.2,0.61
0.9,-0.4,-0.1,0.54
